ntd_id,agency_name,doing_business_as,state,reporter_type,organization_type,agency_url,match_tier,match_evidence
50002,City of Green Bay,Green Bay Metro,WI,Full Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.greenbaymetro.org/,registry_name_exact,registry:green-bay-metro
50003,City of Kenosha,Kenosha Area Transit,WI,Full Reporter,"City, County or Local Government Unit or Department of Transportation",https://www.kenosha.org/departments/transportation,no_candidate,
50004,City of La Crosse,City Of La Crosse MTU,WI,Full Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.cityoflacrosse.org/your-government/departments/municipal-transit-mtu,no_candidate,
50005,City of Madison,,WI,Full Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.mymetrobus.com/,registry_ntd_id,registry:metro-transit-city-of-madison
50006,"City of Racine, Wisconsin",RYDE Racine,WI,Full Reporter,"City, County or Local Government Unit or Department of Transportation",www.ryderacine.com,registry_name_exact,"registry:ryde-racine,ryde-racine-2246"
50007,Bay Mills Indian Community,Bay Mills Public Transportation,MI,Reduced Reporter,Tribe,http://www.BayMills.org/,weak_shared_token,registry:indian-trails-detroit-ann-arbor-express
50008,Milwaukee County,Milwaukee County Transit System,WI,Full Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.ridemcts.com/,registry_name_exact,"registry:milwaukee-county-transit-system-mcts,milwaukee-county-transit-system-mcts-2127"
50009,"City of Oshkosh, Wisconsin",GO Transit,WI,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.rideGOtransit.com/,registry_name_exact,registry:go-transit
50010,METRO Regional Transit Authority,,OH,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.yourmetrobus.org,registry_domain,registry:akron-metro-regional-transit-authority-metro-2071
50011,Stark Area Regional Transit Authority,,OH,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.sartaonline.com/,registry_name_exact,"registry:stark-area-regional-transit-authority-sarta,stark-area-regional-transit-authority-sarta-2001"
50012,Southwest Ohio Regional Transit Authority,Metro / Access,OH,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.go-metro.com/,registry_ntd_id,registry:cincinnati-metro
50015,The Greater Cleveland Regional Transit Authority,,OH,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.riderta.com/,registry_name_exact,registry:greater-cleveland-regional-transit-authority
50016,Central Ohio Transit Authority,,OH,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.cota.com/,registry_ntd_id,registry:central-ohio-transit-authority-cota
50017,Greater Dayton Regional Transit Authority,,OH,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.greaterdaytonrta.org/,registry_name_exact,registry:greater-dayton-regional-transit-authority-greater-dayton-rta
50019,City of Middletown,Middletown Transit System,OH,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.butlercountyrta.com/schedules-maps/middletown-routes,registry_domain,registry:butler-county-regional-transit-authority
50020,"City of Springfield, Ohio",,OH,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation",https://springfieldohio.gov/springfield-city-area-transit-scat/,weak_shared_token,registry:central-ohio-transit-authority-cota
50021,Portage Area Regional Transportation Authority,,OH,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.partaonline.org/,registry_name_exact,"registry:portage-area-regional-transportation-authority-parta,portage-area-regional-transportation-authority-parta-2256"
50022,Toledo Area Regional Transit Authority,,OH,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.tarta.com/,no_candidate,
50024,Western Reserve Transit Authority,,OH,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.wrtaonline.com/,registry_name_exact,registry:western-reserve-transit-authority
50025,Duluth Transit Authority,DTA,MN,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.duluthtransit.com/,registry_name_exact,registry:duluth-transit
50026,City of Moorhead,MATBUS,MN,Full Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.matbus.com/,no_candidate,
50027,Metro Transit,,MN,Full Reporter,"Subsidiary Unit of a Transit Agency, Reporting Separately",http://www.metrotransit.org/,registry_ntd_id,registry:metro-transit
50028,St. Cloud Metropolitan Transit Commission,Metro Bus,MN,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.ridemetrobus.com/,weak_shared_token,registry:metro-transit
50029,Bay Metropolitan Transit Authority,Bay Metro,MI,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.baymetro.com/,registry_name_exact,"registry:bay-area-transportation-authority,bay-area-transportation-authority-2254"
50030,City of Battle Creek,Battle Creek Transit,MI,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.battlecreekmi.gov/transit,no_candidate,
50031,Suburban Mobility Authority for Regional Transportation,,MI,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.smartbus.org/,registry_name_exact,registry:suburban-mobility-authority-for-regional-transit-smart
50032,Mass Transportation Authority,MTA Flint,MI,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.mtaflint.org/,registry_domain,registry:mass-transportation-authority-flint
50033,Interurban Transit Partnership,The Rapid,MI,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.ridetherapid.org/,registry_name_exact,registry:the-rapid
50034,City of Jackson Transportation Authority,Jackson Area Transportation Authority,MI,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.mijata.org/,no_candidate,
50035,Central County Transportation Authority,Metro Transit,MI,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.kmetro.org/,weak_shared_token,"registry:kalamazoo-metro-transit,kalamazoo-metro-transit-2070"
