id,name,date,grade,score,correctness,freshness,completeness,realtime,days_until_expiry,service_horizon_status
metro-ride-830,Metro Ride,2026-07-10,C,77.8,82.0,100.0,54.3,,175,within_review_threshold
metro-rock-island-county-metropolitan-mass-transit-district,Metro Rock Island County Metropolitan Mass Transit District,2026-07-10,F,46.6,57.8,38.3,37.4,,23,within_review_threshold
metro-st-louis,Metro St. Louis,2026-07-10,D,68.9,59.0,70.0,62.5,93.3,51,within_review_threshold
metro-st-louis-2035,Loop Trolley,2026-07-10,C,77.1,83.0,85.0,62.5,,107,within_review_threshold
metro-transit,Metro Transit,2026-07-10,C,79.8,74.2,70.0,84.9,93.1,42,within_review_threshold
metro-transit-city-of-madison,Metro Transit - City of Madison,2026-07-10,B,84.1,80.2,60.0,96.9,99.2,36,within_review_threshold
metro-transit-intercity-transit-city-of-seattle-community-transit-pierce-transit-sound-transit-washington-state-ferries-seattlecentermonorail-everett-transit-seattle-children-s-hospital,Puget Sound Consolidated GTFS,2026-07-10,F,44.4,0.0,81.7,76.7,,49,within_review_threshold
metrolink,Metrolink,2026-07-10,D,67.1,89.0,100.0,52.5,13.9,539,within_review_threshold
metropolitan-area-commuter-system,Metropolitan Area Commuter System,2026-07-10,F,36.3,67.0,0.0,22.5,,-2567,within_review_threshold
metropolitan-atlanta-rapid-transit-authority-marta,Metropolitan Atlanta Rapid Transit Authority (MARTA),2026-07-10,F,58.8,57.5,55.0,52.4,73.1,42,within_review_threshold
metropolitan-transit-authority-mta,Long Island Rail Road,2026-07-10,D,65.0,85.5,83.3,62.5,13.9,59,within_review_threshold
metropolitan-transit-authority-mta-510,NYC Bus Company,2026-07-10,D,62.2,81.0,95.0,32.7,33.3,57,within_review_threshold
metropolitan-transit-authority-mta-511,NYC Subway Supplemented,2026-07-10,C,73.5,85.0,98.3,37.5,,59,within_review_threshold
metropolitan-transit-authority-mta-512,Brooklyn Bus,2026-07-10,D,67.9,78.2,95.0,31.9,,57,within_review_threshold
metropolitan-transit-authority-mta-513,Manhattan Bus,2026-07-10,D,69.2,79.0,95.0,34.7,,57,within_review_threshold
metropolitan-transit-authority-mta-514,Staten Island Bus,2026-07-10,D,68.0,79.0,95.0,31.0,,57,within_review_threshold
metropolitan-transit-authority-mta-516,NYC Subway,2026-07-10,D,65.2,90.0,98.3,45.0,13.9,59,within_review_threshold
metropolitan-transit-authority-mta-520,Queens Bus,2026-07-10,D,68.2,79.0,95.0,31.8,,57,within_review_threshold
metropolitan-transit-authority-mta-528,Bronx Bus,2026-07-10,D,67.8,79.0,95.0,30.5,,57,within_review_threshold
metropolitan-transit-authority-of-black-hawk-county,Metropolitan Transit Authority of Black Hawk County,2026-07-10,D,60.3,82.5,0.0,77.5,,-2383,within_review_threshold
metropolitan-transit-authority-of-black-hawk-county-2414,Metropolitan Transit Authority of Black Hawk County,2026-07-10,B,81.5,90.0,100.0,54.8,,175,within_review_threshold
metropolitan-tulsa-transit-authority-mtta,Metropolitan Tulsa Transit Authority (MTTA),2026-07-10,F,28.3,40.0,0.0,34.6,,-1056,within_review_threshold
metrowest-regional-transit-authority-mwrta,MetroWest Regional Transit Authority (MWRTA),2026-07-10,C,71.5,88.0,85.0,37.5,,110,within_review_threshold
miami-dade-transit,Miami-Dade Transit,2026-06-27,F,26.2,60.0,0.0,0.0,,,unknown
michigan-flyer,Michigan Flyer,2026-07-10,F,57.3,86.0,0.0,63.1,,-497,within_review_threshold
michigan-flyer-413,Michigan Flyer,2026-07-10,F,57.3,86.0,0.0,63.1,,-497,within_review_threshold
microsoft-shuttles,Microsoft Shuttles,2026-07-10,F,18.9,25.2,0.0,25.1,,-2017,within_review_threshold
middlesex-3-tma,Middlesex 3 TMA,2026-07-10,D,65.6,100.0,35.0,42.0,,21,within_review_threshold
middlesex-3-tma-442,Middlesex 3 TMA,2026-07-10,D,65.6,100.0,35.0,42.0,,21,within_review_threshold
middletown-area-transit,Middletown Area Transit,2026-07-10,F,44.9,60.0,0.0,59.6,,-1106,within_review_threshold
middletown-area-transit-2324,Middletown Area Transit,2026-07-10,F,51.7,86.0,0.0,45.0,,-907,within_review_threshold
middletown-area-transit-576,Middletown Area Transit,2026-07-10,F,44.9,60.0,0.0,59.6,,-1106,within_review_threshold
middletown-area-transit-mat,Middletown Area Transit (MAT),2026-07-10,C,77.7,77.8,100.0,59.8,,321,within_review_threshold
middletown-area-transit-mat-551,Middletown Area Transit (MAT),2026-07-10,C,77.7,77.8,100.0,59.8,,321,within_review_threshold
